N,quad_lower,cubic_lower,cubic_upper,tail_upper,width
1,0.4,0.42857142857142857143,0.44444444444444444444,0.4815392195125553987,0.015873
10,0.43601433245954742053,0.43605024256731881941,0.43606820007525969011,0.43606125781774951463,1.10153e-5
100,0.4360550352725481156,0.43605507119853390646,0.43605508916152925912,0.43605507227979723301,1.08126e-9
1000,0.43605507169634938801,0.43605507173227538913,0.43605507175023838969,0.43605507173238320295,1.07814e-13
10000,0.43605507173229329638,0.43605507173232922238,0.43605507173234718538,0.43605507173232923316,1.07782e-17
30000,0.43605507173232789711,0.4360550717323292277,0.436055071732329893,0.43605507173232922783,1.33061e-19
